plate,prefix,number,suffix,province,region,vehicle_type
AB2650SYV,AB,2650,SYV,Yogyakarta,Yogyakarta,Motorcycle
F7168TZ,F,7168,TZ,Bogor/Sukabumi,Bogor/Sukabumi,Bus
AG8714AN,AG,8714,AN,Kediri,Kediri,Truck/Commercial
B7871EQJ,B,7871,EQJ,Jadetabek,Depok,Bus
R986FC,R,986,FC,Banyumas,Banyumas,Private Car
AD7397IC,AD,7397,IC,Surakarta,Surakarta,Bus
Z1020VY,Z,1020,VY,Tasikmalaya,Tasikmalaya,Private Car
D4993YNS,D,4993,YNS,Bandung Raya,Bandung Raya,Motorcycle
B6077WRU,B,6077,WRU,Jadetabek,Tangsel,Motorcycle
DD747NHT,DD,747,NHT,Sulsel,Sulsel,Private Car
DA9691SX,DA,9691,SX,Kalsel,Kalsel,Truck/Commercial
S2128OSE,S,2128,OSE,Bojonegoro,Bojonegoro,Motorcycle
DD9552TGQ,DD,9552,TGQ,Sulsel,Sulsel,Truck/Commercial
AA7387DUW,AA,7387,DUW,Kedu,Kedu,Bus
N1462YSC,N,1462,YSC,Malang,Malang,Private Car
Z3639OIY,Z,3639,OIY,Tasikmalaya,Tasikmalaya,Motorcycle
P360QZQ,P,360,QZQ,Besuki,Besuki,Private Car
W6556NIU,W,6556,NIU,Sidoarjo,Sidoarjo,Motorcycle
DK7325MXH,DK,7325,MXH,Bali,Bali,Bus
KB313HOX,KB,313,HOX,Kalbar,Kalbar,Private Car
B7792SEM,B,7792,SEM,Jadetabek,Jakarta Selatan,Bus
KB7012MB,KB,7012,MB,Kalbar,Kalbar,Bus
S8628VYL,S,8628,VYL,Bojonegoro,Bojonegoro,Truck/Commercial
DA2380DCZ,DA,2380,DCZ,Kalsel,Kalsel,Motorcycle
B877FJ,B,877,FJ,Jadetabek,Bekasi Kab,Private Car
Z7978HS,Z,7978,HS,Tasikmalaya,Tasikmalaya,Bus
AE7639REX,AE,7639,REX,Madiun,Madiun,Bus
H1975FPA,H,1975,FPA,Semarang,Semarang,Private Car
P6075VUZ,P,6075,VUZ,Besuki,Besuki,Motorcycle
AB7721NU,AB,7721,NU,Yogyakarta,Yogyakarta,Bus
N7825NRD,N,7825,NRD,Malang,Malang,Bus
A338BA,A,338,BA,Banten,Banten,Private Car
DA7398BN,DA,7398,BN,Kalsel,Kalsel,Bus
T126MLL,T,126,MLL,Karawang/Purwakarta,Karawang/Purwakarta,Private Car
M5214IUR,M,5214,IUR,Madura,Madura,Motorcycle
KB129VMY,KB,129,VMY,Kalbar,Kalbar,Private Car
H1991BO,H,1991,BO,Semarang,Semarang,Private Car
M6117PXC,M,6117,PXC,Madura,Madura,Motorcycle
Z895YST,Z,895,YST,Tasikmalaya,Tasikmalaya,Private Car
K8780SF,K,8780,SF,Pati,Pati,Truck/Commercial
AD1730VZ,AD,1730,VZ,Surakarta,Surakarta,Private Car
L5029XN,L,5029,XN,Surabaya,Surabaya,Motorcycle
P9986USH,P,9986,USH,Besuki,Besuki,Truck/Commercial
B7593WAU,B,7593,WAU,Jadetabek,Tangsel,Bus
KB8122IIQ,KB,8122,IIQ,Kalbar,Kalbar,Truck/Commercial
B7118FB,B,7118,FB,Jadetabek,Bekasi Kab,Bus
B2706CAA,B,2706,CAA,Jadetabek,Tangerang Kota,Motorcycle
M7737OT,M,7737,OT,Madura,Madura,Bus
B2781WRM,B,2781,WRM,Jadetabek,Tangsel,Motorcycle
AB880AWA,AB,880,AWA,Yogyakarta,Yogyakarta,Private Car
AE3328IC,AE,3328,IC,Madiun,Madiun,Motorcycle
B1706PB,B,1706,PB,Jadetabek,Jakarta Pusat,Private Car
M7498NL,M,7498,NL,Madura,Madura,Bus
DD9106HWR,DD,9106,HWR,Sulsel,Sulsel,Truck/Commercial
B387SWT,B,387,SWT,Jadetabek,Jakarta Selatan,Private Car
DA2982EBF,DA,2982,EBF,Kalsel,Kalsel,Motorcycle
B654TMR,B,654,TMR,Jadetabek,Jakarta Timur,Private Car
B924FZW,B,924,FZW,Jadetabek,Bekasi Kab,Private Car
H331YG,H,331,YG,Semarang,Semarang,Private Car
B7488BM,B,7488,BM,Jadetabek,Jakarta Barat,Bus
P7748MKG,P,7748,MKG,Besuki,Besuki,Bus
F9316MM,F,9316,MM,Bogor/Sukabumi,Bogor/Sukabumi,Truck/Commercial
K4929XS,K,4929,XS,Pati,Pati,Motorcycle
A8643TC,A,8643,TC,Banten,Banten,Truck/Commercial
E7854LH,E,7854,LH,Cirebon/Indramayu,Cirebon/Indramayu,Bus
DD821MG,DD,821,MG,Sulsel,Sulsel,Private Car
B3849WPT,B,3849,WPT,Jadetabek,Tangsel,Motorcycle
B7284KK,B,7284,KK,Jadetabek,Bekasi Kota,Bus
B9929WW,B,9929,WW,Jadetabek,Tangsel,Truck/Commercial
L7816DC,L,7816,DC,Surabaya,Surabaya,Bus
B2682WH,B,2682,WH,Jadetabek,Tangsel,Motorcycle
E7204LA,E,7204,LA,Cirebon/Indramayu,Cirebon/Indramayu,Bus
B2127WK,B,2127,WK,Jadetabek,Tangsel,Motorcycle
P1162AD,P,1162,AD,Besuki,Besuki,Private Car
AG7391BF,AG,7391,BF,Kediri,Kediri,Bus
B5051KN,B,5051,KN,Jadetabek,Bekasi Kota,Motorcycle
D8809UGE,D,8809,UGE,Bandung Raya,Bandung Raya,Truck/Commercial
AA7384VG,AA,7384,VG,Kedu,Kedu,Bus
B854SKM,B,854,SKM,Jadetabek,Jakarta Selatan,Private Car
K8890YS,K,8890,YS,Pati,Pati,Truck/Commercial
B8901ED,B,8901,ED,Jadetabek,Depok,Truck/Commercial
DK320HR,DK,320,HR,Bali,Bali,Private Car
AA7699HN,AA,7699,HN,Kedu,Kedu,Bus
DK4597PI,DK,4597,PI,Bali,Bali,Motorcycle
B2302CPS,B,2302,CPS,Jadetabek,Tangerang Kota,Motorcycle
B7132BB,B,7132,BB,Jadetabek,Jakarta Barat,Bus
B8149PZ,B,8149,PZ,Jadetabek,Jakarta Pusat,Truck/Commercial
DB267GJ,DB,267,GJ,Sulut,Sulut,Private Car
G7830FQ,G,7830,FQ,Pekalongan,Pekalongan,Bus
DD8492LLT,DD,8492,LLT,Sulsel,Sulsel,Truck/Commercial
T8660WLC,T,8660,WLC,Karawang/Purwakarta,Karawang/Purwakarta,Truck/Commercial
DA6051CI,DA,6051,CI,Kalsel,Kalsel,Motorcycle
AB7469ZQO,AB,7469,ZQO,Yogyakarta,Yogyakarta,Bus
B9287CFU,B,9287,CFU,Jadetabek,Tangerang Kota,Truck/Commercial
D9671CKY,D,9671,CKY,Bandung Raya,Bandung Raya,Truck/Commercial
B7938UI,B,7938,UI,Jadetabek,Jakarta Utara,Bus
AG7525FRG,AG,7525,FRG,Kediri,Kediri,Bus
N9319UAZ,N,9319,UAZ,Malang,Malang,Truck/Commercial
R9619QO,R,9619,QO,Banyumas,Banyumas,Truck/Commercial
B2241SH,B,2241,SH,Jadetabek,Jakarta Selatan,Motorcycle
KB6584XP,KB,6584,XP,Kalbar,Kalbar,Motorcycle
B4626EBB,B,4626,EBB,Jadetabek,Depok,Motorcycle
W9977JXQ,W,9977,JXQ,Sidoarjo,Sidoarjo,Truck/Commercial
B8865ZPL,B,8865,ZPL,Jadetabek,Depok,Truck/Commercial
DA3262PS,DA,3262,PS,Kalsel,Kalsel,Motorcycle
DA7485QEY,DA,7485,QEY,Kalsel,Kalsel,Bus
B321SVF,B,321,SVF,Jadetabek,Jakarta Selatan,Private Car
B7955EPA,B,7955,EPA,Jadetabek,Depok,Bus
B1322TT,B,1322,TT,Jadetabek,Jakarta Timur,Private Car
B1306ZMM,B,1306,ZMM,Jadetabek,Depok,Private Car
B2498SJG,B,2498,SJG,Jadetabek,Jakarta Selatan,Motorcycle
B7103WLF,B,7103,WLF,Jadetabek,Tangsel,Bus
K9457FB,K,9457,FB,Pati,Pati,Truck/Commercial
AG8050BZ,AG,8050,BZ,Kediri,Kediri,Truck/Commercial
H8372WYH,H,8372,WYH,Semarang,Semarang,Truck/Commercial
B799PA,B,799,PA,Jadetabek,Jakarta Pusat,Private Car
P7208KE,P,7208,KE,Besuki,Besuki,Bus
AE8054MQS,AE,8054,MQS,Madiun,Madiun,Truck/Commercial
K5545KZB,K,5545,KZB,Pati,Pati,Motorcycle
B8913WHC,B,8913,WHC,Jadetabek,Tangsel,Truck/Commercial
Z9981SZG,Z,9981,SZG,Tasikmalaya,Tasikmalaya,Truck/Commercial
B7765URG,B,7765,URG,Jadetabek,Jakarta Utara,Bus
L4892JG,L,4892,JG,Surabaya,Surabaya,Motorcycle
DB8544TBL,DB,8544,TBL,Sulut,Sulut,Truck/Commercial
B7602WUK,B,7602,WUK,Jadetabek,Tangsel,Bus
A7421XUB,A,7421,XUB,Banten,Banten,Bus
B7261TT,B,7261,TT,Jadetabek,Jakarta Timur,Bus
B2056PZA,B,2056,PZA,Jadetabek,Jakarta Pusat,Motorcycle
R9992EN,R,9992,EN,Banyumas,Banyumas,Truck/Commercial
AE8987AHJ,AE,8987,AHJ,Madiun,Madiun,Truck/Commercial
B224BXI,B,224,BXI,Jadetabek,Jakarta Barat,Private Car
L6674SI,L,6674,SI,Surabaya,Surabaya,Motorcycle
R5804IL,R,5804,IL,Banyumas,Banyumas,Motorcycle
DD7519VLI,DD,7519,VLI,Sulsel,Sulsel,Bus
B9491ZJ,B,9491,ZJ,Jadetabek,Depok,Truck/Commercial
B1081UJ,B,1081,UJ,Jadetabek,Jakarta Utara,Private Car
S2820JS,S,2820,JS,Bojonegoro,Bojonegoro,Motorcycle
B7101URF,B,7101,URF,Jadetabek,Jakarta Utara,Bus
B9146BC,B,9146,BC,Jadetabek,Jakarta Barat,Truck/Commercial
B9215SV,B,9215,SV,Jadetabek,Jakarta Selatan,Truck/Commercial
A4016ARI,A,4016,ARI,Banten,Banten,Motorcycle
AB7676ZN,AB,7676,ZN,Yogyakarta,Yogyakarta,Bus
Z7860VX,Z,7860,VX,Tasikmalaya,Tasikmalaya,Bus
DB184HVO,DB,184,HVO,Sulut,Sulut,Private Car
M934DL,M,934,DL,Madura,Madura,Private Car
B7073FBO,B,7073,FBO,Jadetabek,Bekasi Kab,Bus
B5111ETU,B,5111,ETU,Jadetabek,Depok,Motorcycle
AE1204DC,AE,1204,DC,Madiun,Madiun,Private Car
AD1700DBU,AD,1700,DBU,Surakarta,Surakarta,Private Car
P3282FWW,P,3282,FWW,Besuki,Besuki,Motorcycle
AB8518NPN,AB,8518,NPN,Yogyakarta,Yogyakarta,Truck/Commercial
AD3598KKG,AD,3598,KKG,Surakarta,Surakarta,Motorcycle
W8970SBP,W,8970,SBP,Sidoarjo,Sidoarjo,Truck/Commercial
W7814PR,W,7814,PR,Sidoarjo,Sidoarjo,Bus
DD4963VW,DD,4963,VW,Sulsel,Sulsel,Motorcycle
D8369PLD,D,8369,PLD,Bandung Raya,Bandung Raya,Truck/Commercial
T939OS,T,939,OS,Karawang/Purwakarta,Karawang/Purwakarta,Private Car
D741YZ,D,741,YZ,Bandung Raya,Bandung Raya,Private Car
DD1161QE,DD,1161,QE,Sulsel,Sulsel,Private Car
M632UI,M,632,UI,Madura,Madura,Private Car
B5704CK,B,5704,CK,Jadetabek,Tangerang Kota,Motorcycle
DB7271TL,DB,7271,TL,Sulut,Sulut,Bus
AE1282RV,AE,1282,RV,Madiun,Madiun,Private Car
N3555OMA,N,3555,OMA,Malang,Malang,Motorcycle
L2095OD,L,2095,OD,Surabaya,Surabaya,Motorcycle
B8655FU,B,8655,FU,Jadetabek,Bekasi Kab,Truck/Commercial
Z5707FFW,Z,5707,FFW,Tasikmalaya,Tasikmalaya,Motorcycle
B8710ZOA,B,8710,ZOA,Jadetabek,Depok,Truck/Commercial
B1747UW,B,1747,UW,Jadetabek,Jakarta Utara,Private Car
B8864KX,B,8864,KX,Jadetabek,Bekasi Kota,Truck/Commercial
DB226QW,DB,226,QW,Sulut,Sulut,Private Car
D5270HA,D,5270,HA,Bandung Raya,Bandung Raya,Motorcycle
W1438DY,W,1438,DY,Sidoarjo,Sidoarjo,Private Car
DK3444WBO,DK,3444,WBO,Bali,Bali,Motorcycle
A8247FX,A,8247,FX,Banten,Banten,Truck/Commercial
M577DB,M,577,DB,Madura,Madura,Private Car
B7443SH,B,7443,SH,Jadetabek,Jakarta Selatan,Bus
AD9180AP,AD,9180,AP,Surakarta,Surakarta,Truck/Commercial
B600EH,B,600,EH,Jadetabek,Depok,Private Car
B677EER,B,677,EER,Jadetabek,Depok,Private Car
KB8251VEW,KB,8251,VEW,Kalbar,Kalbar,Truck/Commercial
B7593TVH,B,7593,TVH,Jadetabek,Jakarta Timur,Bus
H8887TE,H,8887,TE,Semarang,Semarang,Truck/Commercial
H1452JSU,H,1452,JSU,Semarang,Semarang,Private Car
AB8534VM,AB,8534,VM,Yogyakarta,Yogyakarta,Truck/Commercial
H102YY,H,102,YY,Semarang,Semarang,Private Car
B7233ZR,B,7233,ZR,Jadetabek,Depok,Bus
D2284JGR,D,2284,JGR,Bandung Raya,Bandung Raya,Motorcycle
KB7172FON,KB,7172,FON,Kalbar,Kalbar,Bus
KB396EX,KB,396,EX,Kalbar,Kalbar,Private Car
R9815MVI,R,9815,MVI,Banyumas,Banyumas,Truck/Commercial
DB768KXL,DB,768,KXL,Sulut,Sulut,Private Car
Z4731JP,Z,4731,JP,Tasikmalaya,Tasikmalaya,Motorcycle
H7414PBY,H,7414,PBY,Semarang,Semarang,Bus
B7677PH,B,7677,PH,Jadetabek,Jakarta Pusat,Bus
KB2408YPV,KB,2408,YPV,Kalbar,Kalbar,Motorcycle
B7316CFV,B,7316,CFV,Jadetabek,Tangerang Kota,Bus
B3560CCE,B,3560,CCE,Jadetabek,Tangerang Kota,Motorcycle
B7453UVY,B,7453,UVY,Jadetabek,Jakarta Utara,Bus
G7887UI,G,7887,UI,Pekalongan,Pekalongan,Bus
B5298TJO,B,5298,TJO,Jadetabek,Jakarta Timur,Motorcycle
F572VIM,F,572,VIM,Bogor/Sukabumi,Bogor/Sukabumi,Private Car
DB7752SV,DB,7752,SV,Sulut,Sulut,Bus
B7243TKG,B,7243,TKG,Jadetabek,Jakarta Timur,Bus
AG9514NIF,AG,9514,NIF,Kediri,Kediri,Truck/Commercial
AA8014AW,AA,8014,AW,Kedu,Kedu,Truck/Commercial
N8690UOT,N,8690,UOT,Malang,Malang,Truck/Commercial
F9719YQY,F,9719,YQY,Bogor/Sukabumi,Bogor/Sukabumi,Truck/Commercial
B7934KM,B,7934,KM,Jadetabek,Bekasi Kota,Bus
S7426RP,S,7426,RP,Bojonegoro,Bojonegoro,Bus
DA444NZT,DA,444,NZT,Kalsel,Kalsel,Private Car
AD1604DN,AD,1604,DN,Surakarta,Surakarta,Private Car
B8291UV,B,8291,UV,Jadetabek,Jakarta Utara,Truck/Commercial
L8486MI,L,8486,MI,Surabaya,Surabaya,Truck/Commercial
B4462UJ,B,4462,UJ,Jadetabek,Jakarta Utara,Motorcycle
B7994TEB,B,7994,TEB,Jadetabek,Jakarta Timur,Bus
G1793ZAY,G,1793,ZAY,Pekalongan,Pekalongan,Private Car
B8649SF,B,8649,SF,Jadetabek,Jakarta Selatan,Truck/Commercial
T3690SHE,T,3690,SHE,Karawang/Purwakarta,Karawang/Purwakarta,Motorcycle
DD5043SHA,DD,5043,SHA,Sulsel,Sulsel,Motorcycle
F7621RK,F,7621,RK,Bogor/Sukabumi,Bogor/Sukabumi,Bus
B1703UB,B,1703,UB,Jadetabek,Jakarta Utara,Private Car
T754JY,T,754,JY,Karawang/Purwakarta,Karawang/Purwakarta,Private Car
A7179AS,A,7179,AS,Banten,Banten,Bus
B4331FKK,B,4331,FKK,Jadetabek,Bekasi Kab,Motorcycle
H4140GC,H,4140,GC,Semarang,Semarang,Motorcycle
AA7845BAT,AA,7845,BAT,Kedu,Kedu,Bus
DA8375MVD,DA,8375,MVD,Kalsel,Kalsel,Truck/Commercial
L3887GV,L,3887,GV,Surabaya,Surabaya,Motorcycle
K7368UW,K,7368,UW,Pati,Pati,Bus
F6535EB,F,6535,EB,Bogor/Sukabumi,Bogor/Sukabumi,Motorcycle
D7946LRB,D,7946,LRB,Bandung Raya,Bandung Raya,Bus
B7495FB,B,7495,FB,Jadetabek,Bekasi Kab,Bus
L7445LHJ,L,7445,LHJ,Surabaya,Surabaya,Bus
B8785BN,B,8785,BN,Jadetabek,Jakarta Barat,Truck/Commercial
B4469CB,B,4469,CB,Jadetabek,Tangerang Kota,Motorcycle
B9480PZ,B,9480,PZ,Jadetabek,Jakarta Pusat,Truck/Commercial
AG7632XCO,AG,7632,XCO,Kediri,Kediri,Bus
G9533OG,G,9533,OG,Pekalongan,Pekalongan,Truck/Commercial
B811FZ,B,811,FZ,Jadetabek,Bekasi Kab,Private Car
T7431YY,T,7431,YY,Karawang/Purwakarta,Karawang/Purwakarta,Bus
R7676FG,R,7676,FG,Banyumas,Banyumas,Bus
AB7950EGY,AB,7950,EGY,Yogyakarta,Yogyakarta,Bus
B5088SAK,B,5088,SAK,Jadetabek,Jakarta Selatan,Motorcycle
T7697OL,T,7697,OL,Karawang/Purwakarta,Karawang/Purwakarta,Bus
AA9576DN,AA,9576,DN,Kedu,Kedu,Truck/Commercial
W6695MDM,W,6695,MDM,Sidoarjo,Sidoarjo,Motorcycle
AA6612BRY,AA,6612,BRY,Kedu,Kedu,Motorcycle
N8562GLM,N,8562,GLM,Malang,Malang,Truck/Commercial
D7570JRG,D,7570,JRG,Bandung Raya,Bandung Raya,Bus
R8376UD,R,8376,UD,Banyumas,Banyumas,Truck/Commercial
E8504FP,E,8504,FP,Cirebon/Indramayu,Cirebon/Indramayu,Truck/Commercial
DB3803KK,DB,3803,KK,Sulut,Sulut,Motorcycle
A2262FHF,A,2262,FHF,Banten,Banten,Motorcycle
DK8022ORN,DK,8022,ORN,Bali,Bali,Truck/Commercial
B8459PDY,B,8459,PDY,Jadetabek,Jakarta Pusat,Truck/Commercial
B1457PG,B,1457,PG,Jadetabek,Jakarta Pusat,Private Car
AA6225BWW,AA,6225,BWW,Kedu,Kedu,Motorcycle
G8415SJ,G,8415,SJ,Pekalongan,Pekalongan,Truck/Commercial
N1660BT,N,1660,BT,Malang,Malang,Private Car
N1551VX,N,1551,VX,Malang,Malang,Private Car
N8341DK,N,8341,DK,Malang,Malang,Truck/Commercial
G9010AWW,G,9010,AWW,Pekalongan,Pekalongan,Truck/Commercial
K1834LJX,K,1834,LJX,Pati,Pati,Private Car
AB490IS,AB,490,IS,Yogyakarta,Yogyakarta,Private Car
R3116LFT,R,3116,LFT,Banyumas,Banyumas,Motorcycle
AD8122WM,AD,8122,WM,Surakarta,Surakarta,Truck/Commercial
W8989KYH,W,8989,KYH,Sidoarjo,Sidoarjo,Truck/Commercial
KB8190PHQ,KB,8190,PHQ,Kalbar,Kalbar,Truck/Commercial
K6904XR,K,6904,XR,Pati,Pati,Motorcycle
DD868DBS,DD,868,DBS,Sulsel,Sulsel,Private Car
DK7335QY,DK,7335,QY,Bali,Bali,Bus
F1779YRS,F,1779,YRS,Bogor/Sukabumi,Bogor/Sukabumi,Private Car
AG1935RQ,AG,1935,RQ,Kediri,Kediri,Private Car
B9422CH,B,9422,CH,Jadetabek,Tangerang Kota,Truck/Commercial
B7051UD,B,7051,UD,Jadetabek,Jakarta Utara,Bus
D8070CCV,D,8070,CCV,Bandung Raya,Bandung Raya,Truck/Commercial
D7899JXG,D,7899,JXG,Bandung Raya,Bandung Raya,Bus
AE7553EV,AE,7553,EV,Madiun,Madiun,Bus
M4755WF,M,4755,WF,Madura,Madura,Motorcycle
AA8372MV,AA,8372,MV,Kedu,Kedu,Truck/Commercial
AD8528MR,AD,8528,MR,Surakarta,Surakarta,Truck/Commercial
B1334SV,B,1334,SV,Jadetabek,Jakarta Selatan,Private Car
B3522WG,B,3522,WG,Jadetabek,Tangsel,Motorcycle
DB9146PS,DB,9146,PS,Sulut,Sulut,Truck/Commercial
B114CGI,B,114,CGI,Jadetabek,Tangerang Kota,Private Car
F6196OCJ,F,6196,OCJ,Bogor/Sukabumi,Bogor/Sukabumi,Motorcycle
P5144HW,P,5144,HW,Besuki,Besuki,Motorcycle
B6931KS,B,6931,KS,Jadetabek,Bekasi Kota,Motorcycle
DK2378NIK,DK,2378,NIK,Bali,Bali,Motorcycle
AB7894XFO,AB,7894,XFO,Yogyakarta,Yogyakarta,Bus
M5799GDZ,M,5799,GDZ,Madura,Madura,Motorcycle
D741BZ,D,741,BZ,Bandung Raya,Bandung Raya,Private Car
B272EW,B,272,EW,Jadetabek,Depok,Private Car
B8545EM,B,8545,EM,Jadetabek,Depok,Truck/Commercial
AG9786QK,AG,9786,QK,Kediri,Kediri,Truck/Commercial
B9973CCL,B,9973,CCL,Jadetabek,Tangerang Kota,Truck/Commercial
DD6711WHD,DD,6711,WHD,Sulsel,Sulsel,Motorcycle
DK7744PIT,DK,7744,PIT,Bali,Bali,Bus
B106EBQ,B,106,EBQ,Jadetabek,Depok,Private Car
AA8173BDD,AA,8173,BDD,Kedu,Kedu,Truck/Commercial
B7130KMG,B,7130,KMG,Jadetabek,Bekasi Kota,Bus
AE1377GF,AE,1377,GF,Madiun,Madiun,Private Car
B1523ULN,B,1523,ULN,Jadetabek,Jakarta Utara,Private Car
B498PCK,B,498,PCK,Jadetabek,Jakarta Pusat,Private Car
K8961LLP,K,8961,LLP,Pati,Pati,Truck/Commercial
D2197XU,D,2197,XU,Bandung Raya,Bandung Raya,Motorcycle
B1197FA,B,1197,FA,Jadetabek,Bekasi Kab,Private Car
B959PJ,B,959,PJ,Jadetabek,Jakarta Pusat,Private Car
DK7137YV,DK,7137,YV,Bali,Bali,Bus
KB1487TW,KB,1487,TW,Kalbar,Kalbar,Private Car
AB1101URF,AB,1101,URF,Yogyakarta,Yogyakarta,Private Car
DK3755FJG,DK,3755,FJG,Bali,Bali,Motorcycle
A1190JVG,A,1190,JVG,Banten,Banten,Private Car
F497LUT,F,497,LUT,Bogor/Sukabumi,Bogor/Sukabumi,Private Car
AD148IBC,AD,148,IBC,Surakarta,Surakarta,Private Car
AD7446RI,AD,7446,RI,Surakarta,Surakarta,Bus
R7059WYU,R,7059,WYU,Banyumas,Banyumas,Bus
E4433APG,E,4433,APG,Cirebon/Indramayu,Cirebon/Indramayu,Motorcycle
DD7055XPN,DD,7055,XPN,Sulsel,Sulsel,Bus
AB7037UDM,AB,7037,UDM,Yogyakarta,Yogyakarta,Bus
B8692CP,B,8692,CP,Jadetabek,Tangerang Kota,Truck/Commercial
B7582URX,B,7582,URX,Jadetabek,Jakarta Utara,Bus
DD7513OV,DD,7513,OV,Sulsel,Sulsel,Bus
Z956AKL,Z,956,AKL,Tasikmalaya,Tasikmalaya,Private Car
B9200TEC,B,9200,TEC,Jadetabek,Jakarta Timur,Truck/Commercial
KB7332ZX,KB,7332,ZX,Kalbar,Kalbar,Bus
L5805VRE,L,5805,VRE,Surabaya,Surabaya,Motorcycle
W7767VWS,W,7767,VWS,Sidoarjo,Sidoarjo,Bus
B1658WNJ,B,1658,WNJ,Jadetabek,Tangsel,Private Car
AG7964FIZ,AG,7964,FIZ,Kediri,Kediri,Bus
DD8750QX,DD,8750,QX,Sulsel,Sulsel,Truck/Commercial
B7965ZCL,B,7965,ZCL,Jadetabek,Depok,Bus
F7296TTI,F,7296,TTI,Bogor/Sukabumi,Bogor/Sukabumi,Bus
AB7818BZ,AB,7818,BZ,Yogyakarta,Yogyakarta,Bus
DA5907IOL,DA,5907,IOL,Kalsel,Kalsel,Motorcycle
G4334AC,G,4334,AC,Pekalongan,Pekalongan,Motorcycle
AA7280SO,AA,7280,SO,Kedu,Kedu,Bus
AB9183RF,AB,9183,RF,Yogyakarta,Yogyakarta,Truck/Commercial
AB605PVS,AB,605,PVS,Yogyakarta,Yogyakarta,Private Car
N215VGW,N,215,VGW,Malang,Malang,Private Car
B4271FL,B,4271,FL,Jadetabek,Bekasi Kab,Motorcycle
B3518EOT,B,3518,EOT,Jadetabek,Depok,Motorcycle
P7511ZFA,P,7511,ZFA,Besuki,Besuki,Bus
S7357TD,S,7357,TD,Bojonegoro,Bojonegoro,Bus
AB276CF,AB,276,CF,Yogyakarta,Yogyakarta,Private Car
A9866EI,A,9866,EI,Banten,Banten,Truck/Commercial
A1771CVI,A,1771,CVI,Banten,Banten,Private Car
T8014KEV,T,8014,KEV,Karawang/Purwakarta,Karawang/Purwakarta,Truck/Commercial
G374LEK,G,374,LEK,Pekalongan,Pekalongan,Private Car
M961YT,M,961,YT,Madura,Madura,Private Car
Z6525ZM,Z,6525,ZM,Tasikmalaya,Tasikmalaya,Motorcycle
DK7560YFD,DK,7560,YFD,Bali,Bali,Bus
K6146ZJ,K,6146,ZJ,Pati,Pati,Motorcycle
B5961WP,B,5961,WP,Jadetabek,Tangsel,Motorcycle
Z167MNV,Z,167,MNV,Tasikmalaya,Tasikmalaya,Private Car
F3026DD,F,3026,DD,Bogor/Sukabumi,Bogor/Sukabumi,Motorcycle
M7375FE,M,7375,FE,Madura,Madura,Bus
T648NZ,T,648,NZ,Karawang/Purwakarta,Karawang/Purwakarta,Private Car
B2524SWG,B,2524,SWG,Jadetabek,Jakarta Selatan,Motorcycle
G7600JI,G,7600,JI,Pekalongan,Pekalongan,Bus
Z7312HA,Z,7312,HA,Tasikmalaya,Tasikmalaya,Bus
A5780VI,A,5780,VI,Banten,Banten,Motorcycle
T333RFR,T,333,RFR,Karawang/Purwakarta,Karawang/Purwakarta,Private Car
DK8508WRB,DK,8508,WRB,Bali,Bali,Truck/Commercial
B7661PJ,B,7661,PJ,Jadetabek,Jakarta Pusat,Bus
G9420LSG,G,9420,LSG,Pekalongan,Pekalongan,Truck/Commercial
B7942SEE,B,7942,SEE,Jadetabek,Jakarta Selatan,Bus
DB7510PNI,DB,7510,PNI,Sulut,Sulut,Bus
DA1815EW,DA,1815,EW,Kalsel,Kalsel,Private Car
DD1648EZC,DD,1648,EZC,Sulsel,Sulsel,Private Car
B3904CXP,B,3904,CXP,Jadetabek,Tangerang Kota,Motorcycle
L1959CN,L,1959,CN,Surabaya,Surabaya,Private Car
F7863PL,F,7863,PL,Bogor/Sukabumi,Bogor/Sukabumi,Bus
K8970NY,K,8970,NY,Pati,Pati,Truck/Commercial
S7308RV,S,7308,RV,Bojonegoro,Bojonegoro,Bus
F1051USR,F,1051,USR,Bogor/Sukabumi,Bogor/Sukabumi,Private Car
N7899CX,N,7899,CX,Malang,Malang,Bus
DA7381LDU,DA,7381,LDU,Kalsel,Kalsel,Bus
B9115WZM,B,9115,WZM,Jadetabek,Tangsel,Truck/Commercial
DA7564TGD,DA,7564,TGD,Kalsel,Kalsel,Bus
DA8319RG,DA,8319,RG,Kalsel,Kalsel,Truck/Commercial
A9230LN,A,9230,LN,Banten,Banten,Truck/Commercial
B8327EXH,B,8327,EXH,Jadetabek,Depok,Truck/Commercial
B9286ZB,B,9286,ZB,Jadetabek,Depok,Truck/Commercial
B5319BNL,B,5319,BNL,Jadetabek,Jakarta Barat,Motorcycle
E8128ZZ,E,8128,ZZ,Cirebon/Indramayu,Cirebon/Indramayu,Truck/Commercial
R25EVB,R,25,EVB,Banyumas,Banyumas,Private Car
G6712EV,G,6712,EV,Pekalongan,Pekalongan,Motorcycle
H7682KF,H,7682,KF,Semarang,Semarang,Bus
B4359SJS,B,4359,SJS,Jadetabek,Jakarta Selatan,Motorcycle
A1724RIS,A,1724,RIS,Banten,Banten,Private Car
AE4636MMG,AE,4636,MMG,Madiun,Madiun,Motorcycle
AA9082PL,AA,9082,PL,Kedu,Kedu,Truck/Commercial
Z4LN,Z,4,LN,Tasikmalaya,Tasikmalaya,Private Car
B7165SGP,B,7165,SGP,Jadetabek,Jakarta Selatan,Bus
